date,season,neutral,playoff,team1,team2,qbelo1_pre,qbelo2_pre,qbelo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
11/25/1920,1920,0,,AKR,CBD,,,,0.364274959,1617.382,1556.623,7,0
11/28/1920,1920,0,,CHT,THO,,,,0.434853824,1316.031,1278.718,27,0
11/28/1920,1920,0,,RII,WJA,,,,0.181993801,1508.242,1287.839,48,7
11/28/1920,1920,0,,DAY,AKR,,,,0.472113004,1542.935,1646.228,0,14
11/28/1920,1920,0,,ARI,CHI,,,,0.421878066,1537.98,1536.833,7,6
11/28/1920,1920,0,,BFF,CTI,,,,0.272282769,1560.198,1433.405,7,0
11/28/1920,1920,0,,DHR,LAN,,,,0.227358231,1431.594,1300.717,0,0
11/28/1920,1920,0,,ROS,RCH,,,,0.622329595,1284.673,1446.51,6,7
12/4/1920,1920,0,,BFF,CBD,,,,0.402574496,1572.764,1544.056,7,3
12/5/1920,1920,0,,WGC,CBD,,,,0.73705724,1307.23,1536.826,0,0
12/5/1920,1920,0,,ROS,RCH,,,,0.635859671,1288.817,1442.366,0,0
12/5/1920,1920,0,,ARI,CHI,,,,0.405940535,1508.607,1566.206,0,10
12/5/1920,1920,0,,COL,CWP,,,,0.282878641,1413.562,1283.035,24,0
12/5/1920,1920,0,,BFF,AKR,,,,0.512178266,1573.136,1645.856,0,0
12/5/1920,1920,0,,DHR,DTM,,,,0.243850083,1423.781,1307.812,7,7
12/11/1920,1920,0,,UAP,CBD,,,,0.728912088,1330.771,1506.055,13,7
12/12/1920,1920,0,,CHI,AKR,,,,0.521070559,1566.849,1645.214,0,0
12/18/1920,1920,0,,RIC,CBD,,,,0.692530812,1278.682,1527.373,0,39
12/19/1920,1920,0,,CST,ARI,,,,0.695650008,1305.967,1502.64,14,14
9/25/1921,1921,0,,AKR,COL,,,,0.220429769,1609.332,1433.186,14,0
10/2/1921,1921,0,,ECG,LOU,,,,0.56989621,1336.032,1377.857,21,0
10/2/1921,1921,0,,AKR,CCL,,,,0.271228982,1628.139,1483.823,41,0
10/2/1921,1921,0,,DAY,COL,,,,0.282286969,1548.174,1415.301,42,13
10/2/1921,1921,0,,RII,DTI,,,,0.172689534,1497.179,1309.982,0,0
10/2/1921,1921,0,,BFF,HAM,,,,0.236199901,1562.92,1399.048,17,0
10/2/1921,1921,0,,ARI,MNN,,,,0.4092876,1527.647,1480.468,20,0
10/9/1921,1921,0,,DTI,DAY,,,,0.730463076,1331.966,1526.191,10,7
10/9/1921,1921,0,,CBD,HAM,,,,0.255415168,1512.456,1406.508,7,7
10/9/1921,1921,0,,ECG,MUN,,,,0.597486419,1369.434,1436.249,14,0
10/9/1921,1921,0,,BFF,COL,,,,0.227244995,1578.103,1400.118,38,0
10/9/1921,1921,0,,ARI,AKR,,,,0.550900161,1499.555,1656.231,0,23
10/10/1921,1921,0,,CHI,RII,,,,0.341515571,1556.684,1486.728,14,10
10/16/1921,1921,0,,DAY,CBD,,,,0.38859187,1522.793,1515.853,14,14
10/16/1921,1921,0,,DTI,AKR,,,,0.816445616,1321.967,1666.229,0,20
10/16/1921,1921,0,,ARI,RII,,,,0.389834433,1473.248,1513.034,7,14
10/16/1921,1921,0,,BFF,NG1,,,,0.12184647,1586.589,1291.514,55,0
10/16/1921,1921,0,,ECG,HAM,,,,0.459897579,1354.267,1421.675,0,3
10/16/1921,1921,0,,CTI,COL,,,,0.331111227,1477.948,1379.44,35,9
10/16/1921,1921,0,,MUN,CCL,,,,0.474942978,1407.584,1512.487,0,14
10/16/1921,1921,0,,CHI,RCH,,,,0.286579718,1564.096,1455.832,16,13
10/23/1921,1921,0,,DTI,RII,,,,0.673860956,1305.261,1529.741,0,14
10/23/1921,1921,0,,ARI,COL,,,,0.286146808,1486.511,1366.177,17,6
10/23/1921,1921,0,,CTI,CCL,,,,0.456275073,1508.256,1482.179,28,0
10/23/1921,1921,0,,CBD,AKR,,,,0.620451197,1505.723,1676.36,0,3
10/23/1921,1921,0,,BFF,RCH,,,,0.244739587,1601.725,1440.697,28,0
10/23/1921,1921,0,,GB,MNN,,,,0.502272348,1420.857,1473.5,7,6
10/23/1921,1921,0,,CHI,DAY,,,,0.351619234,1578.045,1508.844,7,0
10/30/1921,1921,0,,GB,RII,,,,0.562820433,1400.301,1550.297,3,13
10/30/1921,1921,0,,AKR,RCH,,,,0.150490987,1684.292,1432.764,19,0
10/30/1921,1921,0,,MNN,COL,,,,0.270522958,1490.395,1349.282,28,0
10/30/1921,1921,0,,DAY,CTI,,,,0.406716766,1514.319,1502.781,3,2
10/30/1921,1921,0,,BFF,DTI,,,,0.110981547,1607.617,1299.368,21,0
11/6/1921,1921,0,,CBD,DAY,,,,0.419533789,1527.878,1492.164,14,0
11/6/1921,1921,0,,BFF,CTI,,,,0.273357409,1615.786,1494.613,10,6
11/6/1921,1921,0,,RII,MNN,,,,0.327614614,1565.704,1474.988,14,3
11/6/1921,1921,0,,ARI,HAM,,,,0.321388943,1499.133,1409.054,7,0
11/6/1921,1921,0,,GB,ECG,,,,0.34543575,1424.224,1330.343,43,6
11/6/1921,1921,0,,CHI,DTI,,,,0.121493361,1583.267,1294.146,20,9
11/6/1921,1921,0,,RCH,TON,,,,0.471593696,1468.554,1442.214,45,0
11/6/1921,1921,0,,COL,AKR,,,,0.825534278,1339.675,1693.899,0,21
11/13/1921,1921,0,,DAY,DTI,,,,0.180338869,1502.9,1283.411,27,0
11/13/1921,1921,0,,BFF,AKR,,,,0.518862169,1616.361,1693.323,0,0
11/13/1921,1921,0,,CHI,RII,,,,0.383369469,1593.512,1555.459,3,0
11/13/1921,1921,0,,GB,HAM,,,,0.386631082,1439.739,1393.54,14,7
11/13/1921,1921,0,,CTI,CBD,,,,0.454456252,1471.592,1550.898,0,7
11/20/1921,1921,0,,BFF,CBD,,,,0.320602269,1610.89,1556.37,7,7
11/20/1921,1921,0,,RCH,COL,,,,0.246743358,1480.836,1327.393,27,13
11/20/1921,1921,0,,ARI,GB,,,,0.328259109,1493.895,1444.976,3,3
11/20/1921,1921,0,,CHI,CTI,,,,0.254264102,1606.507,1458.597,22,7
11/20/1921,1921,0,,DAY,AKR,,,,0.6730457,1522.689,1673.534,3,0
11/24/1921,1921,0,,AKR,CBD,,,,0.259490133,1629.807,1600.097,0,14
11/24/1921,1921,0,,CHI,BFF,,,,0.413639613,1598.148,1619.249,6,7
11/27/1921,1921,0,,BFF,DAY,,,,0.28292185,1630.21,1511.727,7,0
11/27/1921,1921,0,,SEN,CBD,,,,0.794673039,1289.713,1610.384,0,15
11/27/1921,1921,0,,ECG,CCL,,,,0.622428357,1380.782,1431.74,48,0
